stock_code,corp_code,corp_name,Marcap
005930,00126380,삼성전자,1528801855992000
000660,00164779,SK하이닉스,1233071112120000
402340,01596425,SK스퀘어,139575589884000
009150,00126371,삼성전기,99342615680000
005380,00164742,현대차,83541168528000
373220,01515323,LG에너지솔루션,82134000000000
207940,00877059,삼성바이오로직스,74019230649000
028260,00149655,삼성물산,62839937637500
032830,00126256,삼성생명,61900000000000
105560,00688996,KB금융,59090976484400
012450,00126566,한화에어로스페이스,56049416887000
034020,00159616,두산에너빌리티,54960146326800
000270,00106641,기아,51300267937200
055550,00382199,신한지주,50418955668600
329180,01390344,HD현대중공업,48754489012500
068270,00413046,셀트리온,44988161838400
012330,00164788,현대모비스,41676751440000
006400,00126362,삼성SDI,41582133480000
034730,00181712,SK,40166497462000
086790,00547583,하나금융지주,36545784033600
035420,00266961,NAVER,33456828020000
066570,00401731,LG전자,32658369919000
000810,00139214,삼성화재,30360281640000
010120,00105855,LS ELECTRIC,30225000000000
010130,00102858,고려아연,28637713468000
042660,00111704,한화오션,26749889296200
267260,01205851,HD현대일렉트릭,26422549955000
298040,01316245,효성중공업,26080760756000
005490,00155319,POSCO홀딩스,25991220856000
009540,00164830,HD한국조선해양,25513708318000
316140,01350869,우리금융지주,24026959506000
015760,00159193,한국전력,22340349879600
017670,00159023,SK텔레콤,21393089278800
042700,00161383,한미반도체,20921027900000
011200,00164645,HMM,20138130659500
138040,00860332,메리츠금융지주,19746978214000
006800,00111722,미래에셋증권,19711664151300
000150,00117212,두산,19108725300000
096770,00631518,SK이노베이션,18798670025600
051910,00356361,LG화학,18601082380500
010140,00126478,삼성중공업,18216000000000
033780,00244455,KT&G,18135686663200
018260,00126186,삼성에스디에스,17642138400000
003550,00120021,LG,17296365257600
267250,01205709,HD현대,17141499445000
278470,01190568,에이피알,16547664510000
024110,00149646,기업은행,16227616434150
035720,00258801,카카오,16102361894500
010950,00138279,S-Oil,15874173672000
